"condition","absPhaseSeq","mean_accuracy","sd_accuracy","n","se_accuracy"
"One-hand",30,0.762037033333333,0.0964753096012394,9,0.0321584365337465
"One-hand",60,0.8462963,0.0993128426230842,9,0.0331042808743614
"One-hand",90,0.881481477777778,0.0890514958005869,9,0.029683831933529
"Two-hand",30,0.901851844444444,0.0626079439453395,9,0.0208693146484465
"Two-hand",60,0.951851844444444,0.0620508555367311,9,0.0206836185122437
"Two-hand",90,0.944444444444444,0.0300462675626321,9,0.0100154225208774
